plant_type,disease_name,severity,confidence,symptoms,treatment,prevention,affected_area_estimate
Apple,Apple scab,high,0.92,"Brown spots on leaves, fruit scarring, premature leaf drop","Apply fungicide (mancozeb, sulfur). Prune affected branches. Remove infected fruit. Apply weekly during wet seasons.","Plant resistant varieties. Improve air circulation. Remove fallen leaves in autumn. Avoid overhead watering."
Apple,Powdery mildew,medium,0.87,"White powdery coating on leaves, leaf curling, stunted growth","Spray with neem oil or sulfur-based fungicide. Reduce leaf wetness. Prune dense canopy to improve air circulation.","Ensure adequate spacing between trees. Regular pruning. Apply preventative spray in early season."
Tomato,Early blight,high,0.94,"Brown spots with concentric rings on lower leaves, yellowing above spots","Remove infected leaves. Apply copper-based fungicide. Stake plants for air circulation. Water at soil level only.","Mulch plants. Avoid overhead watering. Rotate crops yearly. Remove plant debris after season."
Tomato,Late blight,critical,0.96,"Water-soaked lesions on leaves and stems, white fungal growth on leaf underside, fruit rot","Remove and destroy infected plants immediately. Apply mancozeb or chlorothalonil. Increase air circulation dramatically.","Plant resistant varieties. Avoid overhead watering. Improve air circulation. Sanitize tools between plants."
Tomato,Septoria leaf spot,medium,0.85,"Small circular lesions with dark borders and gray centers, black dots in center (pycnidia)","Remove infected leaves. Apply fungicide (mancozeb, azoxystrobin). Avoid wetting foliage. Improve drainage.","Space plants properly. Mulch soil. Water at base only. Remove lower leaves as plant grows. Rotate crops."
Tomato,Fusarium wilt,critical,0.91,"Yellowing and wilting of lower leaves, brown vascular discoloration in stems","Remove and destroy infected plants. Sanitize soil. Plant resistant varieties (VF, FF). No effective fungicide.","Use resistant varieties. Avoid planting in contaminated soil. Rotate crops (3-4 years). Sanitize tools and equipment."
Potato,Late blight,critical,0.97,"Water-soaked spots on leaves, white fungal growth on leaf underside, stem rot, tuber decay","Remove affected plants. Apply mancozeb or copper fungicide. Improve air circulation. Increase spacing between plants.","Plant resistant varieties. Avoid overhead watering. Improve air circulation. Destroy affected tubers. Rotate crops."
Potato,Early blight,high,0.89,"Brown spots with concentric rings on older leaves, yellowing and defoliation","Remove infected leaves. Apply mancozeb or azoxystrobin. Improve air circulation. Prune lower foliage.","Remove lower leaves as plant grows. Mulch plants. Space adequately. Rotate crops. Destroy plant debris."
Potato,Bacterial wilt,critical,0.88,"Sudden wilting of foliage, yellowing, stem browning, potato tubers rot in storage","Remove and destroy infected plants immediately. Do not compost. Control Colorado potato beetles (vector).","Plant certified seed potatoes. Control beetle vectors. Avoid overhead watering. Rotate crops (3 years minimum)."
Pepper,Bacterial leaf spot,high,0.86,"Small angular brown spots with yellow halos, lesions on fruit, defoliation","Remove infected leaves. Apply copper-based fungicide. Avoid handling wet plants. Improve air circulation.","Use resistant varieties. Sanitize seeds (hot water treatment). Avoid overhead watering. Rotate crops annually."
Pepper,Phytophthora blight,critical,0.92,"Water-soaked lesions on leaves and stems, fruit rot, stem girdling, wilting","Remove infected plants. Apply metalaxyl or mancozeb. Improve drainage dramatically. Reduce watering frequency.","Ensure excellent drainage. Avoid low-lying areas. Space plants properly. Use fungicide seed treatments. Rotate crops."
Cucumber,Powdery mildew,medium,0.84,"White powdery coating on leaves and stems, leaf yellowing and drying","Spray with neem oil or sulfur-based fungicide. Prune affected areas. Improve air circulation.","Ensure adequate spacing. Avoid overhead watering. Apply preventative spray weekly. Remove infected leaves promptly."
Cucumber,Downy mildew,high,0.89,"Yellow patches on upper leaves, gray-purple growth on underside, leaf necrosis","Apply mancozeb or azoxystrobin immediately. Remove heavily infected leaves. Improve air circulation.","Space plants properly. Avoid overhead watering. Apply preventative fungicide in humid conditions. Rotate crops."
Corn,Common rust,medium,0.81,"Reddish-brown pustules on leaves, yellow halo around lesions, leaf browning","Apply fungicide if severe (azoxystrobin or propiconazole). Remove infected leaves. Improve air circulation.","Plant resistant varieties. Avoid overhead watering. Remove corn debris after harvest. Practice crop rotation."
Corn,Gray leaf spot,high,0.88,"Rectangular brown lesions with gray centers on lower leaves, yellow halos, leaf death","Apply fungicide (azoxystrobin, pyraclostrobin). Remove infected leaves. Improve air circulation. Space plants wider.","Plant resistant hybrids. Rotate crops (2-year minimum). Remove corn residue. Avoid overhead watering."
Bean,Anthracnose,high,0.90,"Reddish-brown sunken lesions on pods and leaves, pink spore masses in wet conditions","Remove infected plants and debris. Apply copper-based fungicide or mancozeb. Improve air circulation.","Use resistant varieties. Use certified disease-free seeds. Avoid handling wet plants. Rotate crops (2 years)."
Bean,Bean mosaic virus,critical,0.85,"Mottling and mosaic patterns on leaves, leaf distortion, stunted growth, reduced yield","Remove infected plants immediately. Control aphid vectors. No cure available. Plant resistant varieties if available.","Control aphids with insecticide. Plant resistant varieties. Use disease-free seeds. Avoid hand contact. Rogue infected plants early."
Lettuce,Septoria leaf spot,medium,0.82,"Small circular brown spots with dark borders on older leaves, gray center with black dots","Remove infected leaves. Apply fungicide (mancozeb). Improve air circulation. Water at soil level.","Space plants properly. Mulch soil. Water at base only. Remove lower leaves as plant grows. Sanitize tools."
Lettuce,Downy mildew,high,0.87,"Yellow patches on upper leaves, white fungal growth on leaf underside, leaf collapse","Apply mancozeb or azoxystrobin. Remove heavily infected leaves. Improve air circulation dramatically.","Space plants properly. Avoid overhead watering. Ensure adequate airflow. Rotate crops. Apply preventative spray."
